Day,MeanPrice,LowerBound_5thPct,UpperBound_95thPct
0,183.5800018310547,183.5800018310547,183.5800018310547
1,183.70074973642156,182.42305157818026,184.92372478418378
2,183.88230352561484,182.1786865755151,185.71788116393589
3,183.98771850457248,181.99068994983824,186.22897171258361
4,184.12965403104272,181.7234738582344,186.5806354943929
5,184.26299026902439,181.62460176281013,187.09120582524517
6,184.42331832831462,181.42177026291765,187.43400518546676
7,184.60899115766824,181.46885524648914,187.78925446435514
8,184.74562277966785,181.28245072884434,188.32916952160056
9,184.8392954382736,181.15634029435938,188.4833483669054
10,184.99312068843795,181.08404923905562,188.77413944709022
11,185.1661385427793,181.25093236196597,189.31818103496838
12,185.3016577516582,181.1700264385664,189.55519604120613
13,185.4200547199181,181.1691310328064,189.85180277105536
14,185.60080977984418,180.97148799736902,190.29271040419118
15,185.71076106810122,180.85436614293977,190.58838230132852
16,185.82711494421025,180.8791382956672,190.68394172310556
17,185.98755286019826,180.6697576879909,191.06516166320813
18,186.09130672614378,180.5006426414372,191.24566771747843
19,186.25863572163053,180.70700524093252,191.63580236017182
20,186.45590052830522,180.908012607978,191.9803605565714
